cell_index,endpoint_distance_20d,path_length_20d,straightness_ratio_20d,quantile_group
143,12.767772711994583,12.919069794769229,1.011849919808841,lower_quantile
144,16.019309248272155,16.263716456422625,1.0152570378886239,lower_quantile
145,13.337212026437529,13.982240975468438,1.048363102254977,middle
146,9.883526346215833,10.166377748474673,1.0286184700025753,middle
147,7.787624201614809,8.529861229096241,1.0953098157108716,upper_quantile
148,11.21344399165686,11.767322805348709,1.0493941748943456,middle
149,6.543397707018401,8.718093806679548,1.3323496747459784,upper_quantile
150,16.746789761720276,16.887809653842922,1.0084207119172768,lower_quantile
151,11.286588650263749,11.777392743619501,1.043485601235612,middle
152,9.720520659821835,10.736414919827755,1.104510272191998,upper_quantile
153,16.75454800717046,17.134225561412766,1.0226611636482115,lower_quantile
154,15.991973709420016,16.398297624381264,1.0254079904297182,middle
155,18.890828536898628,19.103972512624956,1.0112829342191108,lower_quantile
156,9.895579969494763,10.944493346634786,1.1059981709382898,upper_quantile
157,12.172560378995025,12.413947941828553,1.0198304674873553,lower_quantile
158,9.89560811690699,10.441242223876431,1.0551390172815358,middle
159,13.883175023695747,14.288577193539796,1.0292009694577868,middle
160,7.715996847790864,8.703377057624978,1.1279653464499286,upper_quantile
161,10.091346801406605,10.396634359770767,1.0302524097498669,middle
162,12.092345603203826,12.438031556125399,1.0285871711134342,middle
163,9.802159249556581,10.444141991677082,1.0654940126737424,middle
164,12.45432772008671,13.004402847496074,1.0441673882181683,middle
165,10.28459025799536,10.675314934726966,1.0379912730531828,middle
166,6.124370875157061,6.707785032016644,1.0952610755867427,upper_quantile
167,11.967296878938361,12.682781348450405,1.0597866399363125,middle
168,15.502333070643083,16.195620081901755,1.044721462769469,middle
169,8.083797126170321,8.357443439290046,1.0338512098768322,middle
170,16.67751909369835,16.8649586862483,1.0112390572900483,lower_quantile
171,6.452487633572232,7.832675329064109,1.213900091541559,upper_quantile
172,13.211037558093153,13.449294243792554,1.0180346687118034,lower_quantile
173,8.46576465263636,8.908734558014975,1.0523248547005932,middle
174,9.06120675264891,9.922665121771892,1.095071042151328,upper_quantile
175,6.487258353779689,7.9570969306517405,1.2265731525885162,upper_quantile
176,8.17127097939221,8.850980881875365,1.0831828860158195,middle
177,15.96566907267606,16.075004825024006,1.0068481785417351,lower_quantile
178,7.011410068742377,7.926010054462758,1.1304445149767757,upper_quantile
179,13.65412454518547,13.949827317292263,1.0216566628734216,lower_quantile
